Song_Id,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
3406,56.0,19.0,46.0,92.0,72.0,18.118101545253865,3.0
3407,66.94701986754967,65.0,64.0,1.0,1.6225165562913908,12.0,4.0
3411,58.5,51.0,81.0,12.5,0.0,12.0,4.0
3414,61.0,51.439293598233995,58.0,55.0,0.0,27.0,4.0
3417,72.0,55.0,64.0,49.0,0.0,7.0,4.0
3418,66.94701986754967,17.0,71.0,15.0,0.0,11.0,5.0
3422,57.0,41.0,66.0,63.0,0.0,12.0,5.0
3423,92.0,66.0,58.0,19.0,0.0,8.0,24.0
3425,66.0,85.0,60.0,40.0,0.0,14.0,13.0
3427,23.0,19.0,25.0,91.0,0.0,40.0,3.0
3432,50.0,38.0,80.0,0.0,0.0,9.0,7.0
3436,77.0,79.0,73.0,15.0,0.0,27.0,10.0
3441,57.0,50.0,85.0,5.0,0.0,18.118101545253865,4.0
3444,69.5,41.5,36.5,29.0,0.8112582781456954,9.5,7.0
3445,68.5,54.0,67.0,7.5,0.0,25.0,15.5
3451,75.0,74.0,77.0,1.0,0.0,9.0,10.0
3453,80.0,74.0,60.0,8.0,0.0,14.0,26.0
3458,60.0,23.0,91.0,0.0,0.0,12.0,3.0
